MT          Reaction            ExforSF3  comment
1           (n,total)           TOT     -
2           (n,el)              EL
4           (n,inl)             INL
18          (n,f)               F       
102         (n,g)               G
103         (n,p)               P
104         (n,d)               D
105         (n,t)               T
106         (n,h)               HE3
107         (n,a)               A
27          (n,abs)             ABS
16          (n,2n)              2N
17          (n,3n)              3N
37          (n,4n)              4N
50          (n,n0)              -
51          (n,n1)              -
52          (n,n2)              -
53          (n,n3)              -
54          (n,n4)              -
201         (n,xn)              X+N
202         (n,xg)              X+G
203         (n,xp)              X+P
204         (n,xd)              X+D
205         (n,xt)              X+D
206         (n,xh)              X+HE3
207         (n,xa)              X+A
19          (n,0nf)             F       firstchance
20          (n,1nf)             N+F     2ndchance
21          (n,2nf)             2N+F    3rdchance
1           (d,total)           TOT     -
2           (d,el)              EL
4           (d,inl)             INL
18          (d,f)               F
102         (d,g)               G
103         (d,p)               P
104         (d,d)               D
105         (d,t)               T
106         (d,h)               HE3
107         (d,a)               A
27          (d,abs)             ABS
16          (d,2n)              2N
17          (d,3n)              3N
37          (d,4n)              4N
50          (d,n0)              -
51          (d,n1)              -
52          (d,n2)              -
201         (d,xn)              X+N
202         (d,xg)              X+G
203         (d,xp)              X+P
204         (d,xd)              X+D
205         (d,xt)              X+D
206         (d,xh)              X+HE3
207         (d,xa)              X+A
1           (t,total)           TOT     -
2           (t,el)          EL
4           (t,n)               N
18          (t,f)               F
102         (t,g)               G
103         (t,p)               P
104         (t,d)               D
105         (t,t)               T
106         (t,h)               HE3
107         (t,a)               A
27          (t,abs)             ABS
16          (t,2n)              2N
17          (t,3n)              3N
37          (t,4n)              4N
50          (t,n0)              -
51          (t,n1)              -
52          (t,n2)              -
201         (t,xn)              X+N
202         (t,xg)              X+G
203         (t,xp)              X+P
204         (t,xd)              X+D
205         (t,xt)              X+D
206         (t,xh)              X+HE3
207         (t,xa)              X+A
1           (p,total)           TOT     -
2           (p,el)              EL
4           (p,n)               N
18          (p,f)               F
102         (p,g)               G
103         (p,p)               P
104         (p,d)               D
105         (p,t)               T
106         (p,h)               HE3
107         (p,a)               A
27          (p,abs)             ABS
16          (p,2n)              2N
17          (p,3n)              3N
37          (p,4n)              4N
50          (p,n0)              -
51          (p,n1)              -
52          (p,n2)              -
201         (p,xn)              X+N
202         (p,xg)              X+G
203         (p,xp)              X+P
204         (p,xd)              X+D
205         (p,xt)              X+D
206         (p,xh)              X+HE3
207         (p,xa)              X+A
1           (a,total)           TOT     -
2           (a,el)              EL
4           (a,n)               N
18          (a,f)               F
102         (a,g)               G
103         (a,p)               P
104         (a,d)               D
105         (a,t)               T
106         (a,h)               HE3
107         (a,a)               A
27          (a,abs)             ABS
16          (a,2n)              2N
17          (a,3n)              3N
37          (a,4n)              4N
50          (a,n0)              -
51          (a,n1)              -
52          (a,n2)              -
201         (a,xn)              X+N
202         (a,xg)              X+G
203         (a,xp)              X+P
204         (a,xd)              X+D
205         (a,xt)              X+D
206         (a,xh)              X+HE3
207         (a,xa)              X+A
1           (h,total)           TOT     -
2           (h,el)              EL
4           (h,n)               N
18          (h,f)               F
102         (h,g)               G
103         (h,p)               P
104         (h,d)               D
105         (h,t)               T
106         (h,h)               HE3
107         (h,a)               A
27          (h,abs)             ABS
16          (h,2n)              2N
17          (h,3n)              3N
37          (h,4n)              4N
50          (h,n0)              -
51          (h,n1)              -
52          (h,n2)              -
201         (h,xn)              X+N
202         (h,xg)              X+G
203         (h,xp)              X+P
204         (h,xd)              X+D
205         (h,xt)              X+D
206         (h,xh)              X+HE3
207         (h,xa)              X+A
1           (g,total)           TOT     -
2           (g,el)              EL
4           (g,n)               N
18          (g,f)               F
102         (g,g)               G
103         (g,p)               P
104         (g,d)               D
105         (g,t)               T
106         (g,h)               HE3
107         (g,a)               A
27          (g,abs)             ABS
16          (g,2n)              2N
17          (g,3n)              3N
37          (g,4n)              4N
50          (g,n0)              -
51          (g,n1)              -
52          (g,n2)              -
201         (g,xn)              X+N
202         (g,xg)              X+G
203         (g,xp)              X+P
204         (g,xd)              X+D
205         (g,xt)              X+D
206         (g,xh)              X+HE3
207         (g,xa)              X+A

# # ----------------
# ##############  n
# 1           (n,total)           TOT     -
# 2           (n,el)          EL
# 3           (n,nonel)       NON
# 4           (n,inl)       INL
# 5           (n,x)               x
# #10          (n,contin.)         -       CON,SIG
# 11          (n,2nd)             2N+D
# #12-15       Unassigned.         -
# 16          (n,2n)              2N
# 17          (n,3n)              3N
# 18          (n,f)               F
# 19          (n,0f)              FIS       firstchance
# 20          (n,nf)              N+F     2ndchance
# 21          (n,2nf)             2N+F    3rdchance
# 22          (n,na)              N+A
# 23          (n,n3a)             N+3A
# 24          (n,2na)             2N+A
# 25          (n,3na)             3N+A
# 27          (n,abs)             ABS
# 28          (n,np)              N+P
# 29          (n,n2a)             N+2A
